id,name,party ,sector ,Country 
UL,Ursula von der Leyen,CDU,Politik ,DE
LK,Lars Klingbeil ,SPD,Politik ,DE
NR,Norbert Röttgen ,CDU,Politik ,DE
SW,Sahra Wagenknetcht,Linke ,Politik ,DE
CS,Constanze Stelzenmüller,NA,Jura,USA
CL,Christian Lindner,FDP,Politik ,DE
KS,Karl Schlögel ,NA,Historiker ,DE
LM,Ljudmyla Melnyk ,NA,Politikwissenschaftler,Ukraine 
KD,Kristina Dnuz ,Na,Jounalismus,DE
EL,Egils Levits ,NA,Politik ,Lettland 
AB,Annaleina Baerbock,Grüne,Politik ,DE
FS,Frans Timmermans ,NA,Politik ,Niederlande 
AG,Alexander Graf Lambsdorff ,FDP,Politik ,DE
AM,Andrij Melnyk ,NA,Politik ,Ukraine 
EG,Egon Ramms ,NA,Bundeswehr ,DE
RH,Robert Habeck ,Grüne,Politik ,DE
CM,Claudia Major ,NA,Politikwissenschaftler ,
KP,Katja Petrowskaja ,NA,Journalismus,Ukraine 
RK,Roderich Kiesewetter ,CDU,Politik ,DE
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
